z,stage,nsim
4.328543538853179,3,98
5.9045481695984545,4,98
5.88066574488064,5,98
1.8901980088288282,1,99
1.7198633215450887,2,99
3.6582232602729703,3,99
4.469232181845812,4,99
5.88066574723032,5,99
4.055982710118846,1,100
4.554049294634261,2,100
4.723109419880262,3,100
5.307097058783698,4,100
5.88066574723032,5,100
2.121162931413594,1,101
2.1745088474508716,2,101
3.219931530166316,3,101
4.895587273657441,4,101
5.88066574723032,5,101
0.6046213032792912,1,102
1.9049585973414174,2,102
3.6687961681447456,3,102
6.261646739275793,4,102
5.88066574723032,5,102
4.028444784543682,1,103
4.309210029474805,2,103
4.92268825017303,3,103
4.86300803062926,4,103
5.88066574488064,5,103
3.484290408166842,1,104
3.9784922508156586,2,104
5.498490737519019,3,104
5.581739426801686,4,104
5.88066574488064,5,104
4.794262628729273,1,105
6.287531126157041,2,105
5.318101394561933,3,105
6.583710421568088,4,105
5.88066574723032,5,105
0.469271704779899,1,106
3.744348338695987,2,106
4.218084872995636,3,106
5.973197896634142,4,106
5.88066574723032,5,106
